method,category,image_id,real_image,generated_image,psnr,ssim,lpips
classical,deer,10,real_4.png,gen_4.png,12.347278395744446,0.0426515,0.39461082220077515
classical,deer,11,real_5.png,gen_5.png,10.854997658005717,0.10411352,0.1283135712146759
classical,deer,12,real_6.png,gen_6.png,9.750530832776828,0.02548848,0.21870657801628113
classical,deer,13,real_7.png,gen_7.png,10.639580342061517,-0.025031507,0.30013543367385864
classical,deer,14,real_8.png,gen_8.png,12.29043745562321,0.046183556,0.17394429445266724
classical,deer,15,real_9.png,gen_9.png,11.96504958906132,0.08668084,0.1763933002948761
quantum,deer,0,real_0.png,gen_0.png,9.587451060677335,-0.069123775,0.23302605748176575
quantum,deer,1,real_1.png,gen_1.png,10.345006848885552,-0.036656857,0.22692015767097473
quantum,deer,2,real_10.png,gen_10.png,11.622303685956707,0.07891753,0.24435651302337646
quantum,deer,3,real_11.png,gen_11.png,10.729612964247583,0.019507725,0.24982112646102905
quantum,deer,4,real_12.png,gen_12.png,9.666112203520566,0.09758613,0.18090897798538208
quantum,deer,5,real_13.png,gen_13.png,13.97350764448828,0.0032801647,0.2063370794057846
quantum,deer,6,real_14.png,gen_14.png,9.459308164392471,0.042684957,0.24013257026672363
quantum,deer,7,real_15.png,gen_15.png,13.766516703167177,0.12857306,0.265916109085083
quantum,deer,8,real_2.png,gen_2.png,9.514238915374252,0.022523731,0.2522011697292328
quantum,deer,9,real_3.png,gen_3.png,9.876059218913896,-0.029761633,0.3051905035972595
quantum,deer,10,real_4.png,gen_4.png,14.24667998158277,0.07634965,0.2874087393283844
quantum,deer,11,real_5.png,gen_5.png,11.385518366619866,-0.024900027,0.15404394268989563
quantum,deer,12,real_6.png,gen_6.png,10.549435372890406,0.008133472,0.2862699329853058
quantum,deer,13,real_7.png,gen_7.png,10.760188960759173,0.038557675,0.21538236737251282
quantum,deer,14,real_8.png,gen_8.png,13.727941800526846,0.07824546,0.18568433821201324
quantum,deer,15,real_9.png,gen_9.png,11.306022086312534,-0.029107222,0.17905119061470032
classical,dog,0,real_0.png,gen_0.png,9.022101024413198,0.05388279,0.09973282366991043
classical,dog,1,real_1.png,gen_1.png,9.049651379739593,0.019162033,0.29452502727508545
classical,dog,2,real_10.png,gen_10.png,8.70202031642088,0.055108692,0.25914663076400757
classical,dog,3,real_11.png,gen_11.png,6.166394475771028,-0.092265956,0.18136382102966309
classical,dog,4,real_12.png,gen_12.png,9.231220944659558,0.016443977,0.14702971279621124
classical,dog,5,real_13.png,gen_13.png,11.339837345712622,0.04622525,0.1480858325958252
classical,dog,6,real_14.png,gen_14.png,10.787864851437483,0.09552979,0.15423175692558289
classical,dog,7,real_15.png,gen_15.png,10.113700617103724,-0.06967998,0.2010474056005478
classical,dog,8,real_2.png,gen_2.png,10.823140904017198,0.13134977,0.14486438035964966
classical,dog,9,real_3.png,gen_3.png,8.544617014423148,0.0468992,0.26977378129959106
classical,dog,10,real_4.png,gen_4.png,8.658832245570618,0.08811596,0.1885758638381958
classical,dog,11,real_5.png,gen_5.png,8.337652467883837,0.078958295,0.1301916241645813
classical,dog,12,real_6.png,gen_6.png,9.646482859120015,0.13707411,0.1830410212278366
classical,dog,13,real_7.png,gen_7.png,10.70113460379641,0.047963213,0.10236905515193939
classical,dog,14,real_8.png,gen_8.png,9.238020231940459,-0.031004876,0.26588621735572815
classical,dog,15,real_9.png,gen_9.png,9.39992062105255,0.06347057,0.21612994372844696
quantum,dog,0,real_0.png,gen_0.png,11.247156316586214,-0.008168769,0.16384249925613403
quantum,dog,1,real_1.png,gen_1.png,6.588175908270743,-0.015005216,0.19683942198753357
quantum,dog,2,real_10.png,gen_10.png,7.737486709295112,-0.03460134,0.224196657538414
quantum,dog,3,real_11.png,gen_11.png,7.150497693065345,0.025094187,0.19439825415611267
quantum,dog,4,real_12.png,gen_12.png,10.08343409983469,0.048658744,0.3076785206794739
quantum,dog,5,real_13.png,gen_13.png,11.260314866915227,-0.03720427,0.17289283871650696
quantum,dog,6,real_14.png,gen_14.png,12.403732406191567,0.12643775,0.09843984246253967
quantum,dog,7,real_15.png,gen_15.png,11.882856576512506,0.03517911,0.2170669436454773
quantum,dog,8,real_2.png,gen_2.png,7.80004221878376,-0.066945426,0.2669350802898407
quantum,dog,9,real_3.png,gen_3.png,9.297388811433255,0.11639762,0.1931646168231964
quantum,dog,10,real_4.png,gen_4.png,8.362938869993807,-0.039951086,0.17191584408283234
quantum,dog,11,real_5.png,gen_5.png,8.663250574589643,-0.017264986,0.16234013438224792
quantum,dog,12,real_6.png,gen_6.png,9.912081966863397,-0.0031324737,0.13961175084114075
quantum,dog,13,real_7.png,gen_7.png,9.42348015129559,0.07972885,0.21921974420547485
quantum,dog,14,real_8.png,gen_8.png,7.81874534799597,-0.0454511,0.1730487048625946
quantum,dog,15,real_9.png,gen_9.png,9.91692284424676,0.0061612627,0.2951352298259735
classical,frog,0,real_0.png,gen_0.png,12.017640146435852,0.035172667,0.16728945076465607
classical,frog,1,real_1.png,gen_1.png,10.38462512855951,0.02356805,0.2959032654762268
classical,frog,2,real_10.png,gen_10.png,8.84883275242817,0.03672635,0.27454495429992676
classical,frog,3,real_11.png,gen_11.png,6.9267321761272775,0.0021574486,0.19788701832294464
classical,frog,4,real_12.png,gen_12.png,9.939758927968786,0.04084554,0.15853966772556305
classical,frog,5,real_13.png,gen_13.png,8.706983069739207,-0.025048321,0.09312319755554199
classical,frog,6,real_14.png,gen_14.png,9.807651966463562,0.039997924,0.18975159525871277
classical,frog,7,real_15.png,gen_15.png,10.502599095587668,-0.005450253,0.26693230867385864
classical,frog,8,real_2.png,gen_2.png,10.171351595348677,0.037023257,0.11365465074777603
classical,frog,9,real_3.png,gen_3.png,9.21195427730559,0.0314615,0.190803661942482
classical,frog,10,real_4.png,gen_4.png,8.64713263167741,0.011647557,0.1023949608206749
classical,frog,11,real_5.png,gen_5.png,10.222741686156077,0.0139974505,0.14123383164405823
classical,frog,12,real_6.png,gen_6.png,10.867594961583393,0.034950312,0.3152811527252197
classical,frog,13,real_7.png,gen_7.png,8.119386886956272,-0.005138976,0.1251457929611206
classical,frog,14,real_8.png,gen_8.png,10.750848934110609,0.038156282,0.1649271696805954
classical,frog,15,real_9.png,gen_9.png,7.720590277514337,-0.054010738,0.2622935175895691
quantum,frog,0,real_0.png,gen_0.png,11.574751966628918,0.06008554,0.1287003457546234
quantum,frog,1,real_1.png,gen_1.png,10.572958073068321,0.10146173,0.10740865767002106
quantum,frog,2,real_10.png,gen_10.png,11.003331150708004,0.01849865,0.24049387872219086
quantum,frog,3,real_11.png,gen_11.png,6.472905388439255,-0.060728073,0.29195624589920044
quantum,frog,4,real_12.png,gen_12.png,9.304892152200239,0.0140667,0.14095468819141388
quantum,frog,5,real_13.png,gen_13.png,8.917537838937653,0.009873369,0.11449436843395233
quantum,frog,6,real_14.png,gen_14.png,12.150052367387245,0.083175555,0.2105216234922409
quantum,frog,7,real_15.png,gen_15.png,12.709468295969927,0.009760157,0.20182397961616516
quantum,frog,8,real_2.png,gen_2.png,12.239129419937559,-0.0023806512,0.18888136744499207
quantum,frog,9,real_3.png,gen_3.png,11.567870606899156,0.0953209,0.14582103490829468
quantum,frog,10,real_4.png,gen_4.png,9.335205109193016,-0.011895533,0.1303846538066864
quantum,frog,11,real_5.png,gen_5.png,11.335802791414922,-0.0032186399,0.129823237657547
quantum,frog,12,real_6.png,gen_6.png,10.525042739468404,0.03373112,0.23386891186237335
quantum,frog,13,real_7.png,gen_7.png,11.294702622166486,0.03819977,0.1590014547109604
quantum,frog,14,real_8.png,gen_8.png,11.749167952634265,0.06275177,0.18090800940990448
quantum,frog,15,real_9.png,gen_9.png,11.481696790056104,0.030615808,0.20988494157791138
classical,horse,0,real_0.png,gen_0.png,7.605208014046755,0.1261527,0.19468721747398376
classical,horse,1,real_1.png,gen_1.png,10.934465352955804,0.036662254,0.169267475605011
classical,horse,2,real_10.png,gen_10.png,10.34304590800833,0.039902747,0.13789868354797363
classical,horse,3,real_11.png,gen_11.png,8.408436428103837,0.04561164,0.18165060877799988
classical,horse,4,real_12.png,gen_12.png,11.85537470611624,0.051336497,0.2306390404701233
classical,horse,5,real_13.png,gen_13.png,9.32633795441842,0.04536822,0.2132807821035385
classical,horse,6,real_14.png,gen_14.png,8.937005144299555,0.077121444,0.2140321135520935
classical,horse,7,real_15.png,gen_15.png,5.402614815011755,0.0036427006,0.2992651164531708
classical,horse,8,real_2.png,gen_2.png,10.518413503682094,-0.036065575,0.29857903718948364
classical,horse,9,real_3.png,gen_3.png,8.660011240200765,-0.016229428,0.31358376145362854
classical,horse,10,real_4.png,gen_4.png,10.257743474556321,0.067913584,0.1983785182237625
classical,horse,11,real_5.png,gen_5.png,8.591502722099696,0.11567458,0.1869642734527588
classical,horse,12,real_6.png,gen_6.png,10.261181565380271,0.020016992,0.215105339884758
classical,horse,13,real_7.png,gen_7.png,11.777729064236123,0.050030705,0.16417694091796875
classical,horse,14,real_8.png,gen_8.png,10.305923440768673,0.013502181,0.10825877636671066
classical,horse,15,real_9.png,gen_9.png,9.263613052974428,0.08048611,0.18008121848106384
quantum,horse,0,real_0.png,gen_0.png,10.071184813038682,0.090663575,0.3486884534358978
quantum,horse,1,real_1.png,gen_1.png,10.387303716904624,0.061105948,0.26802605390548706
quantum,horse,2,real_10.png,gen_10.png,8.55941616482038,-0.003246257,0.17617549002170563
quantum,horse,3,real_11.png,gen_11.png,9.807482424849,0.086375244,0.267119437456131
quantum,horse,4,real_12.png,gen_12.png,10.781116320160011,0.00012735557,0.2159804105758667
quantum,horse,5,real_13.png,gen_13.png,9.458586795195089,0.0116533935,0.1860012710094452
quantum,horse,6,real_14.png,gen_14.png,9.049805699634069,0.24528039,0.19592903554439545
quantum,horse,7,real_15.png,gen_15.png,6.943496805914714,0.06451716,0.2520279288291931
quantum,horse,8,real_2.png,gen_2.png,11.400145188992424,0.038344953,0.2621407210826874
quantum,horse,9,real_3.png,gen_3.png,9.70313232206956,0.064779565,0.23492935299873352
quantum,horse,10,real_4.png,gen_4.png,7.780825965854414,0.06702687,0.21892914175987244
quantum,horse,11,real_5.png,gen_5.png,10.223150304598867,-0.007063513,0.3583780825138092
quantum,horse,12,real_6.png,gen_6.png,10.949248700915458,0.11787022,0.16594283282756805
quantum,horse,13,real_7.png,gen_7.png,11.0464201620623,0.12492844,0.1288723349571228
quantum,horse,14,real_8.png,gen_8.png,10.117445572925002,0.077568874,0.07523136585950851
quantum,horse,15,real_9.png,gen_9.png,8.240744323877827,0.043333154,0.18167228996753693
classical,ship,0,real_0.png,gen_0.png,11.203222460269501,0.15120144,0.2168680876493454
classical,ship,1,real_1.png,gen_1.png,9.302443198721074,0.1371357,0.17682987451553345
classical,ship,2,real_10.png,gen_10.png,9.13879397358136,0.17571826,0.19304096698760986
classical,ship,3,real_11.png,gen_11.png,11.50768851400317,0.084872544,0.17473384737968445
classical,ship,4,real_12.png,gen_12.png,11.981136904215948,0.20172064,0.3098796308040619
classical,ship,5,real_13.png,gen_13.png,12.811557593228333,0.0118286135,0.31467723846435547
classical,ship,6,real_14.png,gen_14.png,9.849782962692183,0.056644246,0.244018092751503
classical,ship,7,real_15.png,gen_15.png,8.250592610862103,0.018924672,0.3411716818809509
classical,ship,8,real_2.png,gen_2.png,5.950255724151983,0.01468882,0.34145182371139526
classical,ship,9,real_3.png,gen_3.png,10.191856460091245,-0.0031009282,0.3018638491630554
classical,ship,10,real_4.png,gen_4.png,9.77268706631133,0.10653507,0.1950739026069641
classical,ship,11,real_5.png,gen_5.png,11.78406886130368,0.14424126,0.2296406328678131
classical,ship,12,real_6.png,gen_6.png,12.439401511765254,0.035536475,0.1751863658428192
classical,ship,13,real_7.png,gen_7.png,9.477890199651249,0.14293802,0.19003517925739288
classical,ship,14,real_8.png,gen_8.png,10.971981543780931,0.047364783,0.32210761308670044
classical,ship,15,real_9.png,gen_9.png,10.619340031751165,0.09961458,0.4749169647693634
quantum,ship,0,real_0.png,gen_0.png,12.220631610767835,0.09365585,0.2169966846704483
quantum,ship,1,real_1.png,gen_1.png,7.608072797569278,-0.048553046,0.204471156001091
quantum,ship,2,real_10.png,gen_10.png,11.769289475115574,0.1748358,0.28551971912384033
quantum,ship,3,real_11.png,gen_11.png,12.605794207786891,0.038618196,0.20356443524360657
quantum,ship,4,real_12.png,gen_12.png,11.883325747940688,0.1372713,0.19310714304447174
quantum,ship,5,real_13.png,gen_13.png,13.038081638195575,0.062440008,0.32445207238197327
quantum,ship,6,real_14.png,gen_14.png,12.042337013666259,0.09110901,0.1754007786512375
quantum,ship,7,real_15.png,gen_15.png,7.307542507288767,-0.08629199,0.22661203145980835
quantum,ship,8,real_2.png,gen_2.png,8.492791278376643,0.043668102,0.2985244393348694
